,img_path,ground_truth,top_predict,Prediction,accuracy,top_1_accuracy,top_5_accuracy,precision,recall,time,image
0,,"['person', 'frisbee']",[0],person(1.00) ,0.5,1.0,1.0,1.0,0.5,0.4175531000000774,/home/suphale/WorkSpace/test_images/000000117121.jpg
1,,"['person', 'bus', 'bus', 'book']",[],,0.0,0.0,0.0,0.0,0.0,0.1380448999998407,/home/suphale/WorkSpace/test_images/000000117121.jpg
2,,"['person', 'bus', 'bus', 'book']",[],,0.0,0.0,0.0,0.0,0.0,0.16538869999931194,/home/suphale/WorkSpace/test_images/000000117121.jpg
3,,"['person', 'bus', 'bus', 'book']",[],,0.0,0.0,0.0,0.0,0.0,0.11699369999951159,/home/suphale/WorkSpace/test_images/000000117121.jpg
4,,"['person', 'bus', 'bus', 'book']",[],,0.0,0.0,0.0,0.0,0.0,0.1276754999998957,/home/suphale/WorkSpace/test_images/000000117121.jpg
5,,"['person', 'bus', 'bus', 'book']",[],,0.0,0.0,0.0,0.0,0.0,0.12424379999993107,/home/suphale/WorkSpace/test_images/000000117121.jpg
6,,"['person', 'bus', 'bus', 'book']",[],,0.0,0.0,0.0,0.0,0.0,0.12144309999985126,/home/suphale/WorkSpace/test_images/000000117121.jpg
7,,"['person', 'bus', 'bus', 'book']",[],,0.0,0.0,0.0,0.0,0.0,0.14251579999927344,/home/suphale/WorkSpace/test_images/000000117121.jpg
8,,"['person', 'bus', 'bus', 'book']",[],,0.0,0.0,0.0,0.0,0.0,0.16028220000043802,/home/suphale/WorkSpace/test_images/000000117121.jpg
9,,"['person', 'bus', 'bus', 'book']",[],,0.0,0.0,0.0,0.0,0.0,0.12104569999974046,/home/suphale/WorkSpace/test_images/000000117121.jpg
10,,"['person', 'bus', 'bus', 'book']",[],,0.0,0.0,0.0,0.0,0.0,0.14406849999977567,/home/suphale/WorkSpace/test_images/000000117121.jpg
11,,"['person', 'bus', 'bus', 'book']",[],,0.0,0.0,0.0,0.0,0.0,0.15869759999986854,/home/suphale/WorkSpace/test_images/000000117121.jpg
12,,"['person', 'bus', 'bus', 'book']",[],,0.0,0.0,0.0,0.0,0.0,0.1969111000007615,/home/suphale/WorkSpace/test_images/000000117121.jpg
13,,"['person', 'bus', 'bus', 'book']",[],,0.0,0.0,0.0,0.0,0.0,0.25438169999961247,/home/suphale/WorkSpace/test_images/000000117121.jpg
14,,"['person', 'bus', 'bus', 'book']",[],,0.0,0.0,0.0,0.0,0.0,0.11811810000017431,/home/suphale/WorkSpace/test_images/000000117121.jpg
15,,"['person', 'bus', 'bus', 'book']",[],,0.0,0.0,0.0,0.0,0.0,0.4486900000001697,/home/suphale/WorkSpace/test_images/000000117121.jpg
16,,"['person', 'bus', 'bus', 'book']",[],,0.0,0.0,0.0,0.0,0.0,0.14202389999991283,/home/suphale/WorkSpace/test_images/000000117121.jpg
17,,"['person', 'bus', 'bus', 'book']",[],,0.0,0.0,0.0,0.0,0.0,0.16199260000030336,/home/suphale/WorkSpace/test_images/000000117121.jpg
18,,"['person', 'bus', 'bus', 'book']",[],,0.0,0.0,0.0,0.0,0.0,0.29389439999977185,/home/suphale/WorkSpace/test_images/000000117121.jpg
19,,"['person', 'bus', 'bus', 'book']",[],,0.0,0.0,0.0,0.0,0.0,0.1190839999999298,/home/suphale/WorkSpace/test_images/000000117121.jpg
20,,"['person', 'bus', 'bus', 'book']",[],,0.0,0.0,0.0,0.0,0.0,0.1222697999992306,/home/suphale/WorkSpace/test_images/000000117121.jpg
21,,"['person', 'bus', 'bus', 'book']",[],,0.0,0.0,0.0,0.0,0.0,0.12239820000013424,/home/suphale/WorkSpace/test_images/000000117121.jpg
22,,"['person', 'bus', 'bus', 'book']",[],,0.0,0.0,0.0,0.0,0.0,0.14129910000065138,/home/suphale/WorkSpace/test_images/000000117121.jpg
23,,"['person', 'bus', 'bus', 'book']",[],,0.0,0.0,0.0,0.0,0.0,0.12334389999978157,/home/suphale/WorkSpace/test_images/000000117121.jpg
24,,"['person', 'bus', 'bus', 'book']",[],,0.0,0.0,0.0,0.0,0.0,0.11737269999957789,/home/suphale/WorkSpace/test_images/000000117121.jpg
25,,"['person', 'bus', 'bus', 'book']",[],,0.0,0.0,0.0,0.0,0.0,0.11779279999973369,/home/suphale/WorkSpace/test_images/000000117121.jpg
26,,"['person', 'bus', 'bus', 'book']",[],,0.0,0.0,0.0,0.0,0.0,0.13634410000031494,/home/suphale/WorkSpace/test_images/000000117121.jpg
27,,"['person', 'bus', 'bus', 'book']",[],,0.0,0.0,0.0,0.0,0.0,0.13749019999977463,/home/suphale/WorkSpace/test_images/000000117121.jpg
28,,"['person', 'bus', 'bus', 'book']",[],,0.0,0.0,0.0,0.0,0.0,0.12012109999977838,/home/suphale/WorkSpace/test_images/000000117121.jpg
29,,"['person', 'bus', 'bus', 'book']",[],,0.0,0.0,0.0,0.0,0.0,0.1411590999996406,/home/suphale/WorkSpace/test_images/000000117121.jpg
30,,"['person', 'bus', 'bus', 'book']",[],,0.0,0.0,0.0,0.0,0.0,0.16688869999961753,/home/suphale/WorkSpace/test_images/000000117121.jpg
31,,"['person', 'bus', 'bus', 'book']",[],,0.0,0.0,0.0,0.0,0.0,0.12175250000018423,/home/suphale/WorkSpace/test_images/000000117121.jpg
32,,"['person', 'bus', 'bus', 'book']",[],,0.0,0.0,0.0,0.0,0.0,0.11527049999949668,/home/suphale/WorkSpace/test_images/000000117121.jpg
33,,"['person', 'bus', 'bus', 'book']",[],,0.0,0.0,0.0,0.0,0.0,0.12128930000017135,/home/suphale/WorkSpace/test_images/000000117121.jpg
34,,"['person', 'bus', 'bus', 'book']",[],,0.0,0.0,0.0,0.0,0.0,0.12316800000007788,/home/suphale/WorkSpace/test_images/000000117121.jpg
35,,"['person', 'bus', 'bus', 'book']",[],,0.0,0.0,0.0,0.0,0.0,0.11758960000042862,/home/suphale/WorkSpace/test_images/000000117121.jpg
36,,"['person', 'bus', 'bus', 'book']",[],,0.0,0.0,0.0,0.0,0.0,0.12894859999960318,/home/suphale/WorkSpace/test_images/000000117121.jpg
37,,"['person', 'bus', 'bus', 'book']",[],,0.0,0.0,0.0,0.0,0.0,0.11521499999980733,/home/suphale/WorkSpace/test_images/000000117121.jpg
38,,"['person', 'bus', 'bus', 'book']",[],,0.0,0.0,0.0,0.0,0.0,0.12360679999983404,/home/suphale/WorkSpace/test_images/000000117121.jpg
39,,"['person', 'bus', 'bus', 'book']",[],,0.0,0.0,0.0,0.0,0.0,0.11733640000056766,/home/suphale/WorkSpace/test_images/000000117121.jpg
40,,"['person', 'bus', 'bus', 'book']",[],,0.0,0.0,0.0,0.0,0.0,0.12929710000025807,/home/suphale/WorkSpace/test_images/000000117121.jpg
41,,"['person', 'bus', 'bus', 'book']",[],,0.0,0.0,0.0,0.0,0.0,0.11583739999969112,/home/suphale/WorkSpace/test_images/000000117121.jpg
42,,"['person', 'bus', 'bus', 'book']",[],,0.0,0.0,0.0,0.0,0.0,0.12107319999995525,/home/suphale/WorkSpace/test_images/000000117121.jpg
43,,"['person', 'bus', 'bus', 'book']",[],,0.0,0.0,0.0,0.0,0.0,0.11313030000019353,/home/suphale/WorkSpace/test_images/000000117121.jpg
44,,"['person', 'bus', 'bus', 'book']",[],,0.0,0.0,0.0,0.0,0.0,0.11656879999918601,/home/suphale/WorkSpace/test_images/000000117121.jpg
45,,"['person', 'bus', 'bus', 'book']",[],,0.0,0.0,0.0,0.0,0.0,0.11944820000007894,/home/suphale/WorkSpace/test_images/000000117121.jpg
46,,"['person', 'bus', 'bus', 'book']",[],,0.0,0.0,0.0,0.0,0.0,0.12275519999911921,/home/suphale/WorkSpace/test_images/000000117121.jpg
47,,"['person', 'bus', 'bus', 'book']",[],,0.0,0.0,0.0,0.0,0.0,0.13088690000040515,/home/suphale/WorkSpace/test_images/000000117121.jpg
48,,"['person', 'bus', 'bus', 'book']",[],,0.0,0.0,0.0,0.0,0.0,0.1294848000006823,/home/suphale/WorkSpace/test_images/000000117121.jpg
49,,"['person', 'bus', 'bus', 'book']",[],,0.0,0.0,0.0,0.0,0.0,0.12120779999986553,/home/suphale/WorkSpace/test_images/000000117121.jpg
50,,"['person', 'bus', 'bus', 'book']",[],,0.0,0.0,0.0,0.0,0.0,0.11747130000003381,/home/suphale/WorkSpace/test_images/000000117121.jpg
